"","Date","Station","Outflow","Inflow","Total","X","daily.data.summary","daily.data.icon","daily.data.precipIntensity","daily.data.precipProbability","daily.data.precipType","daily.data.temperatureHigh","daily.data.temperatureLow","daily.data.apparentTemperatureHigh","daily.data.apparentTemperatureLow","daily.data.humidity","daily.data.windSpeed","Wday","Wday_bin","Hday_bin","Month","Month_x","Month_y","Season","Precip_bin"
"9933","2010-11-27","31707",0,0,0,69,"Partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,44.57,30.83,39.71,30.83,0.47,4.62,"Saturday",1,0,11,-0.5,0.866025403784438,"Fall",0
"32760","2011-05-05","31228",90,98,188,228,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,68.02,43.27,68.02,43.27,0.48,3.17,"Thursday",1,0,5,0.5,-0.866025403784439,"Spring",0
"16573","2011-01-13","31103",28,14,42,116,"Clear throughout the day.","clear-day",0,0,NA,34.39,21.64,28.89,21.4,0.52,5.4,"Thursday",1,0,1,0.5,0.866025403784439,"Winter",0
"18794","2011-01-28","31620",13,19,32,131,"Light snow in the afternoon.","snow",0.0023,0.68,"snow",35.31,25.94,35.31,25.94,0.85,0.28,"Friday",1,0,1,0.5,0.866025403784439,"Winter",1
"8760","2010-11-19","31261",0,0,0,61,"Clear throughout the day.","clear-day",0,0,NA,51.84,38.69,51.84,38.69,0.62,1.46,"Friday",1,0,11,-0.5,0.866025403784438,"Fall",0
"49151","2011-08-27","31801",1,0,1,342,"Heavy rain starting in the afternoon.","rain",0.0694,1,"rain",77.53,69.87,78.99,70.81,0.91,3.32,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"21028","2011-02-13","31100",3,7,10,147,"Mostly cloudy until afternoon.","partly-cloudy-day",0,0,NA,53.76,47.11,53.76,45,0.45,2.74,"Sunday",1,0,2,0.866025403784439,0.5,"Winter",0
"62976","2011-12-01","31605",26,29,55,438,"Clear throughout the day.","clear-day",0,0,NA,50.89,29.15,50.89,29.15,0.6,2.82,"Thursday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"65177","2011-12-16","31235",9,18,27,453,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",0,0,NA,49.9,37.35,47.81,37.35,0.53,2.84,"Friday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"50125","2011-09-03","31103",47,31,78,349,"Mostly cloudy until afternoon.","partly-cloudy-day",9e-04,0.42,"rain",81.22,70.76,84.92,71.79,0.78,0.5,"Saturday",1,0,9,-1,-1.83697019872103e-16,"Summer",1
"32652","2011-05-04","31262",0,3,3,227,"Rain in the morning.","rain",0.0185,1,"rain",58.88,45.65,58.88,45.65,0.74,3.44,"Wednesday",1,0,5,0.5,-0.866025403784439,"Spring",1
"9518","2010-11-25","31206",1,1,2,67,"Overcast throughout the day.","cloudy",0.0012,0.78,"rain",50.73,51.05,50.73,51.05,0.69,1.41,"Thursday",1,1,11,-0.5,0.866025403784438,"Fall",1
"13477","2010-12-22","31229",25,20,45,94,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,42.06,31.47,39.43,24.79,0.53,3.02,"Wednesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"1","2010-09-20","31208",5,5,10,1,"Clear throughout the day.","clear-day",0,0,NA,77.73,51.51,77.73,51.51,0.54,2.25,"Monday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"66844","2011-12-28","31108",20,15,35,465,"Mostly cloudy until afternoon.","partly-cloudy-day",0,0,NA,45.15,27.86,41.46,27.86,0.57,4.72,"Wednesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"43350","2011-07-18","31111",35,49,84,302,"Partly cloudy starting in the afternoon.","partly-cloudy-day",0,0,NA,92.17,76.77,97.39,77.92,0.67,0.84,"Monday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"22465","2011-02-23","31208",12,13,25,157,"Partly cloudy in the morning.","partly-cloudy-night",0.0015,0.41,"snow",45.02,28.5,45.02,28.5,0.48,0.27,"Wednesday",1,0,2,0.866025403784439,0.5,"Winter",1
"38182","2011-06-12","31011",16,12,28,266,"Partly cloudy until evening.","partly-cloudy-day",0.0032,0.59,"rain",87.87,62.61,91.63,62.61,0.76,0.4,"Sunday",1,0,6,1.22464679914735e-16,-1,"Spring",1
"54980","2011-10-06","31230",70,68,138,382,"Clear throughout the day.","clear-day",0,0,NA,69.14,46.71,69.14,46.71,0.68,0.23,"Thursday",1,0,10,-0.866025403784439,0.5,"Fall",0
"2304","2010-10-05","31806",0,0,0,16,"Overcast throughout the day.","cloudy",0,0,NA,59.37,50.94,59.37,50.94,0.72,3.47,"Tuesday",1,0,10,-0.866025403784439,0.5,"Fall",0
"48304","2011-08-21","31217",64,75,139,336,"Rain starting in the afternoon, continuing until evening.","rain",0.0094,0.76,"rain",87.83,71.64,95.44,71.9,0.8,0.88,"Sunday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"35464","2011-05-24","31012",10,8,18,247,"Mostly cloudy throughout the day.","partly-cloudy-day",5e-04,0.64,"rain",85.07,65.84,86.47,66.21,0.72,1.04,"Tuesday",1,0,5,0.5,-0.866025403784439,"Spring",1
"8101","2010-11-15","31107",28,20,48,57,"Light rain overnight.","rain",0.0012,0.74,"rain",57.32,49.37,57.32,49.37,0.83,0.44,"Monday",1,0,11,-0.5,0.866025403784438,"Fall",1
"34115","2011-05-14","31020",0,0,0,237,"Rain overnight.","rain",0.0105,1,"rain",65.65,63.32,66.09,63.8,0.9,0.92,"Saturday",1,0,5,0.5,-0.866025403784439,"Spring",1
"14599","2010-12-30","31608",3,3,6,102,"Partly cloudy until evening.","partly-cloudy-day",0,0,NA,45.79,29.05,45.79,29.05,0.64,0.84,"Thursday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"24605","2011-03-09","31241",0,0,0,171,"Rain overnight.","rain",5e-04,0.8,"rain",48.41,45.97,46.44,43.77,0.75,3.02,"Wednesday",1,0,3,1,6.12323399573677e-17,"Winter",1
"23521","2011-03-02","31607",17,19,36,164,"Clear throughout the day.","clear-day",0,0,NA,62.28,26.11,62.28,21.44,0.43,2.58,"Wednesday",1,0,3,1,6.12323399573677e-17,"Winter",0
"16968","2011-01-15","31261",0,0,0,118,"Mostly cloudy throughout the day.","partly-cloudy-day",1e-04,0.12,"rain",43.49,34.41,43.49,30.32,0.54,1.26,"Saturday",1,0,1,0.5,0.866025403784439,"Winter",1
"59344","2011-11-06","31205",65,64,129,413,"Mostly cloudy in the morning.","partly-cloudy-day",0,0,NA,58.02,37.3,58.02,37.3,0.76,0.51,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"26860","2011-03-25","31611",11,24,35,187,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,47.16,30.48,45.95,30.48,0.53,2.21,"Friday",1,0,3,1,6.12323399573677e-17,"Spring",0
"56824","2011-10-19","31504",2,1,3,395,"Rain in the morning and evening.","rain",0.024,1,"rain",67.21,54.07,68.05,54.07,0.9,1.03,"Wednesday",1,0,10,-0.866025403784439,0.5,"Fall",1
"21694","2011-02-17","31804",0,1,1,151,"Mostly cloudy in the morning.","partly-cloudy-night",0,0,NA,70.83,56.2,70.83,56.2,0.46,2.05,"Thursday",1,0,2,0.866025403784439,0.5,"Winter",0
"49947","2011-09-01","31113",0,0,0,347,"Mostly cloudy overnight.","partly-cloudy-night",0,0,NA,80.86,66.94,82.08,67.5,0.71,0.45,"Thursday",1,0,9,-1,-1.83697019872103e-16,"Summer",0
"62552","2011-11-28","31300",19,12,31,435,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,69.83,59.98,69.83,59.98,0.74,0.95,"Monday",1,0,11,-0.5,0.866025403784438,"Fall",0
"7338","2010-11-09","31116",0,0,0,51,"Clear throughout the day.","clear-day",0,0,NA,61.44,45.35,61.44,45.35,0.54,3.04,"Tuesday",1,0,11,-0.5,0.866025403784438,"Fall",0
"31184","2011-04-24","31700",0,0,0,217,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",0.0039,0.42,"rain",85.65,61.96,85.65,62.29,0.73,0.85,"Sunday",1,0,4,0.866025403784439,-0.5,"Spring",1
"39299","2011-06-19","31020",0,0,0,273,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,81.98,66.95,84.15,67.61,0.74,0.14,"Sunday",1,0,6,1.22464679914735e-16,-1,"Summer",0
"42482","2011-07-12","31209",2,2,4,296,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,93.3,75.11,99.53,75.94,0.67,1.6,"Tuesday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"6727","2010-11-05","31618",13,12,25,47,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,55.1,37.37,55.1,37.37,0.7,3.1,"Friday",1,0,11,-0.5,0.866025403784438,"Fall",0
"27478","2011-03-29","31701",0,0,0,191,"Partly cloudy until afternoon.","partly-cloudy-day",0,0,NA,51.28,38.7,51.28,38.7,0.33,2.26,"Tuesday",1,0,3,1,6.12323399573677e-17,"Spring",0
"32598","2011-05-04","31214",50,62,112,227,"Rain in the morning.","rain",0.0185,1,"rain",58.88,45.65,58.88,45.65,0.74,3.44,"Wednesday",1,0,5,0.5,-0.866025403784439,"Spring",1
"47158","2011-08-13","31501",1,3,4,328,"Rain in the afternoon.","rain",0.0062,0.88,"rain",82.39,72.31,87.02,73.6,0.79,0.8,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"40424","2011-06-27","31705",0,0,0,281,"Mostly cloudy throughout the day.","partly-cloudy-day",5e-04,0.53,"rain",80.21,70.89,82.31,71.73,0.74,0.34,"Monday",1,0,6,1.22464679914735e-16,-1,"Summer",1
"9522","2010-11-25","31009",0,0,0,67,"Overcast throughout the day.","cloudy",0.0012,0.78,"rain",50.73,51.05,50.73,51.05,0.69,1.41,"Thursday",1,1,11,-0.5,0.866025403784438,"Fall",1
"17671","2011-01-20","31618",20,17,37,123,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,42.04,31.71,42.04,25.69,0.58,0.51,"Thursday",1,0,1,0.5,0.866025403784439,"Winter",0
"52435","2011-09-19","31106",73,59,132,365,"Overcast throughout the day.","cloudy",0,0,NA,68.59,63.74,68.59,63.84,0.75,0.57,"Monday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"80","2010-09-20","31700",0,0,0,1,"Clear throughout the day.","clear-day",0,0,NA,77.73,51.51,77.73,51.51,0.54,2.25,"Monday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"64710","2011-12-13","31214",62,67,129,450,"Mostly cloudy overnight.","partly-cloudy-night",0,0,NA,49.88,35.39,48.95,35.39,0.66,1.03,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"14253","2010-12-27","31707",0,0,0,99,"Mostly cloudy in the morning.","partly-cloudy-night",0,0,NA,34.63,27.06,26.61,20.43,0.44,9.88,"Monday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"28410","2011-04-05","31004",1,2,3,198,"Rain until afternoon.","rain",0.0133,1,"rain",59.71,35.09,59.71,35.09,0.64,4.04,"Tuesday",1,0,4,0.866025403784439,-0.5,"Spring",1
"12049","2010-12-12","31623",2,4,6,84,"Rain in the morning and afternoon.","rain",0.0228,1,"rain",44.44,31.74,43.94,26.2,0.94,0.51,"Sunday",1,0,12,-2.44929359829471e-16,1,"Fall",1
"39099","2011-06-18","31222",62,68,130,272,"Partly cloudy throughout the day.","partly-cloudy-day",8e-04,0.37,"rain",85.08,72.14,87.2,73.16,0.74,0.42,"Saturday",1,0,6,1.22464679914735e-16,-1,"Summer",1
"295","2010-09-22","31703",0,0,0,3,"Partly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,90.99,68.39,94.81,68.99,0.65,1.64,"Wednesday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"18529","2011-01-26","31623",8,14,22,129,"Mixed precipitation (1–2 in. of snow) in the morning and afternoon.","snow",0.0204,1,"rain",35.12,30.8,33.69,27.27,0.88,2.79,"Wednesday",1,0,1,0.5,0.866025403784439,"Winter",1
"42241","2011-07-10","31607",37,47,84,294,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,89.95,73.32,91.76,74.02,0.64,0.62,"Sunday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"59249","2011-11-05","31215",29,51,80,412,"Clear throughout the day.","clear-day",0,0,NA,52.28,31.74,52.28,31.74,0.55,1.34,"Saturday",1,0,11,-0.5,0.866025403784438,"Fall",0
"22059","2011-02-20","31802",0,1,1,154,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",1e-04,0.21,"rain",48.35,40.83,48.35,40.83,0.43,2.61,"Sunday",1,0,2,0.866025403784439,0.5,"Winter",1
"57387","2011-10-23","31222",54,58,112,399,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,63.3,46.3,63.3,46.3,0.78,0.37,"Sunday",1,0,10,-0.866025403784439,0.5,"Fall",0
"61250","2011-11-19","31606",27,34,61,426,"Partly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,54.57,47.18,54.57,47.18,0.51,1.79,"Saturday",1,0,11,-0.5,0.866025403784438,"Fall",0
"47940","2011-08-18","31244",0,0,0,333,"Partly cloudy throughout the day.","partly-cloudy-day",0.0024,0.51,"rain",88.93,68.11,91.26,68.99,0.7,1.07,"Thursday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"41679","2011-07-06","31704",0,0,0,290,"Partly cloudy until evening.","partly-cloudy-day",9e-04,0.68,"rain",86.56,72.34,91.92,73.62,0.75,0.61,"Wednesday",1,0,7,-0.5,-0.866025403784439,"Summer",1
"62345","2011-11-26","31614",0,0,0,433,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,66.72,43.72,66.72,43.72,0.63,0.07,"Saturday",1,0,11,-0.5,0.866025403784438,"Fall",0
"34591","2011-05-18","31001",23,20,43,241,"Light rain in the morning and afternoon.","rain",0.0068,0.9,"rain",71.53,58.66,71.7,58.66,0.84,1.35,"Wednesday",1,0,5,0.5,-0.866025403784439,"Spring",1
"44294","2011-07-24","31226",15,3,18,308,"Humid and partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,94.22,77.4,102.09,79.07,0.65,1.17,"Sunday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"48154","2011-08-20","31702",0,0,0,335,"Partly cloudy in the evening.","partly-cloudy-day",0,0,NA,87.32,73.77,89.37,74.96,0.73,0.3,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",0
